,text,class
0,"this article is about the herbivorous mammals. for other uses, see animal (disambiguation) the term animal is used to refer to many species of even-toed ruminant indigenous to various regions in africa and eurasia.",Antelope
1,"one new world species, the pronghorn of north america, is sometimes colloquially referred to as the ""american animal"" unlike deer antlers, which are shed and grown annually, animal horns grow continuously. the english word ""animal"" first appeared in 1417",Antelope
2,"animal are not a cladistic or taxonomically defined group. the 91 animal species, most of which are native to africa, occur in about 30 genera. the classification of tribes or subfamilies within bovidae is still a matter of debate.",Antelope
3,"more species of animal are native to africa than to any other continent, almost exclusively in savannahs. 25-40 species co-occurring over much of east africa. other species occur in asia: the arabian peninsula is home to the arabian oryx and dorcas gaz",Antelope
4,"no animal species is native to australasia or antarctica, nor do any extant species occur in the americas. the nominate saiga subspecies occurred in north america during the pleistocene. north america is currently home to the native pronghorn, which taxonomists do not consider",Antelope
5,"animal live in a wide range of habitats. most live in the african savannahs. texas in particular has many game ranches, as well as habitats and climates that are very hospitable to african and asian plains animal species.",Antelope
6,"the gnus and gazelles of east africa perform some of the most impressive mass migratory circuits of all mammals. for example, a male common eland can measure 178 cm (5 ft 10 in) at the shoulder and weigh almost 950 kg (2,100 lb)",Antelope
7,"not surprisingly for animals with long, slender yet powerful legs, many animal have long strides and can run fast. some (eg klipspringer) are also adapted to inhabiting rock koppies and crags.",Antelope
8,"animal have a wide variety of coverings, though most have a dense coat of short fur. in most species, the coat (pelage) is some variation of a brown colour (or several shades of brown), often with white or pale underbodies. exceptions include the",Antelope
9,"animal are ruminants, so have well-developed molar teeth, which grind cud (food balls stored in the stomach) into a pulp for further digestion. they have no upper incisors, but rather a hard upper gum pad, against which their lower incis",Antelope
10,"many species ""flash"" such markings, as well as their tails. many species also use scent marking to define their territories or simply to maintain contact with their relatives and neighbors. vocal communications include loud barks, whistles, ""moos"", and trumpeting.",Antelope
11,", sitatunga, red lechwe, and suni) in some species, the males and females have differently coloured pelages (eg blackbuck and nyala) horns are not shed and their bony cores are covered with a thick, persistent sheath of",Antelope
12,"with male-male competition for mates, horns are clashed in combat. males more commonly use their horns against each other than against another species. many species have ridges in their horns for at least two-thirds the length of their horns.",Antelope
13,"large grazing animal, such as impala or wildebeest, form large herds made up of many females and a single breeding male, which excludes all other males, often by combat. larger forest species often form very small herds of two to four females and one male.",Antelope
14,"many forest animal rely on cryptic coloring and good hearing to avoid predators. small animal, especially duikers, evade predation by jumping into dense bush where the predator cannot pursue. springboks use a behavior known as stotting to confuse predators.",Antelope
15,"about 25 species are rated by the iucn as endangered. the main causes for concern for these species are habitat loss, competition with cattle for grazing, and trophy hunting. a number of subspecies are also endangered, including the giant sable animal and the mhorr g",Antelope
16,"the saiga is hunted for its horns, which are considered an aphrodisiac by some cultures. since the fur can only be removed from dead animals, and each animal yields very little of the downy fur, several animal must be killed to make a single shawl",Antelope
